tenure,MonthlyCharges,TotalCharges,Revenue at Risk,Churn Probability,Risk Category,Actual Churn
57,95.25,5427.05,95.25,1.0,High Risk,1
34,25.6,917.15,0.0,0.0,Low Risk,0
3,99.0,287.4,99.0,1.0,High Risk,1
4,82.85,319.6,0.0,0.0,Low Risk,0
54,20.5,1035.7,0.0,0.0,Low Risk,0
6,19.7,111.65,0.0,0.0,Low Risk,0
22,59.75,1374.35,0.0,0.0,Low Risk,0
23,96.9,2085.45,0.0,0.0,Low Risk,0
68,58.25,3975.7,0.0,0.0,Low Risk,0
48,20.0,935.9,0.0,0.0,Low Risk,0
34,20.8,635.9,0.0,0.0,Low Risk,0
41,79.85,3320.75,0.0,0.0,Low Risk,0
9,75.85,724.65,0.0,0.0,Low Risk,0
18,103.6,1806.35,0.0,0.0,Low Risk,0
35,95.5,3418.2,0.0,0.0,Low Risk,0
55,79.4,4238.45,0.0,0.0,Low Risk,0
54,108.0,5760.65,0.0,0.0,Low Risk,0
2,78.55,149.55,78.55,1.0,High Risk,1
52,106.3,5487.0,0.0,0.0,Low Risk,0
72,69.65,4908.25,0.0,0.0,Low Risk,0
9,70.05,564.4,0.0,0.0,Low Risk,0
3,69.55,200.2,0.0,0.0,Low Risk,0
4,75.35,273.4,0.0,0.0,Low Risk,0
69,75.75,5388.15,0.0,0.0,Low Risk,0
67,35.7,2545.7,0.0,0.0,Low Risk,0
4,79.9,324.3,79.9,1.0,High Risk,1
13,45.55,597.0,45.55,1.0,High Risk,1
45,81.0,3533.6,0.0,0.0,Low Risk,0
68,101.35,7110.75,0.0,0.0,Low Risk,0
69,73.7,4885.85,0.0,0.0,Low Risk,0
70,58.35,4214.25,0.0,0.0,Low Risk,0
1,19.9,19.9,19.9,1.0,High Risk,1
45,25.9,1216.6,0.0,0.0,Low Risk,0
37,20.3,755.4,0.0,0.0,Low Risk,0
10,40.25,411.45,0.0,0.0,Low Risk,0
1,89.35,89.35,0.0,0.0,Low Risk,0
29,69.05,1958.45,0.0,0.0,Low Risk,0
72,104.1,7447.7,0.0,0.0,Low Risk,0
2,75.9,143.35,75.9,1.0,High Risk,1
24,53.6,1315.35,0.0,0.0,Low Risk,0
4,79.15,317.25,79.15,1.0,High Risk,1
72,19.3,1304.8,0.0,0.0,Low Risk,0
11,79.0,929.3,0.0,0.0,Low Risk,0
44,19.9,868.1,0.0,0.0,Low Risk,0
62,20.45,1297.35,0.0,0.0,Low Risk,0
70,25.4,1782.05,0.0,0.0,Low Risk,0
1,25.05,25.05,25.05,1.0,High Risk,1
4,105.65,443.9,105.65,1.0,High Risk,1
2,85.55,187.45,85.55,1.0,High Risk,1
41,56.3,2364.0,0.0,0.0,Low Risk,0
1,19.45,19.45,19.45,1.0,High Risk,1
72,84.1,5981.65,0.0,0.0,Low Risk,0
63,109.25,6841.4,0.0,0.0,Low Risk,0
68,79.6,5461.45,0.0,0.0,Low Risk,0
59,99.5,5890.0,0.0,0.0,Low Risk,0
52,48.8,2555.05,0.0,0.0,Low Risk,0
26,105.75,2710.25,105.75,1.0,High Risk,1
66,56.6,3789.2,0.0,0.0,Low Risk,0
56,95.65,5471.75,0.0,0.0,Low Risk,0
72,79.2,5401.9,0.0,0.0,Low Risk,0
2,70.1,141.65,0.0,0.0,Low Risk,0
68,117.2,8035.95,0.0,0.0,Low Risk,0
61,84.9,5264.5,0.0,0.0,Low Risk,0
1,20.05,20.05,0.0,0.0,Low Risk,0
2,19.9,33.7,0.0,0.0,Low Risk,0
2,19.5,31.55,19.5,1.0,High Risk,1
68,84.65,5683.6,0.0,0.0,Low Risk,0
9,68.25,576.95,0.0,0.0,Low Risk,0
13,83.2,1060.6,83.2,1.0,High Risk,1
22,20.05,470.2,0.0,0.0,Low Risk,0
66,25.3,1673.8,0.0,0.0,Low Risk,0
8,20.35,178.7,0.0,0.0,Low Risk,0
2,69.95,143.9,0.0,0.0,Low Risk,0
3,55.8,154.55,0.0,0.0,Low Risk,0
5,92.5,452.7,92.5,1.0,High Risk,1
13,20.0,268.45,0.0,0.0,Low Risk,0
53,65.0,3363.8,0.0,0.0,Low Risk,0
3,20.0,49.65,0.0,0.0,Low Risk,0
46,94.9,4422.95,0.0,0.0,Low Risk,0
39,40.3,1630.4,0.0,0.0,Low Risk,0
30,107.5,3242.5,0.0,0.0,Low Risk,0
23,98.7,2249.1,0.0,0.0,Low Risk,0
40,20.4,854.9,0.0,0.0,Low Risk,0
45,62.55,2796.45,0.0,0.0,Low Risk,0
53,19.65,978.0,0.0,0.0,Low Risk,0
72,112.4,8046.85,0.0,0.0,Low Risk,0
28,20.3,487.95,0.0,0.0,Low Risk,0
49,67.4,3306.85,0.0,0.0,Low Risk,0
1,74.6,74.6,74.6,1.0,High Risk,1
20,81.0,1683.7,0.0,0.0,Low Risk,0
53,60.6,3297.0,0.0,0.0,Low Risk,0
67,69.2,4671.65,0.0,0.0,Low Risk,0
11,73.85,926.25,73.85,1.0,High Risk,1
52,85.8,4433.3,0.0,0.0,Low Risk,0
1,90.55,90.55,90.55,1.0,High Risk,1
48,55.5,2627.35,0.0,0.0,Low Risk,0
7,75.45,480.75,75.45,1.0,High Risk,1
7,71.35,515.75,0.0,0.0,Low Risk,0
12,84.05,966.55,0.0,0.0,Low Risk,0
40,24.6,973.95,0.0,0.0,Low Risk,0
55,77.8,4323.35,0.0,0.0,Low Risk,0
20,19.5,403.15,0.0,0.0,Low Risk,0
1,35.55,35.55,35.55,1.0,High Risk,1
72,84.2,5986.55,0.0,0.0,Low Risk,0
63,110.1,6705.7,0.0,0.0,Low Risk,0
70,64.55,4504.9,0.0,0.0,Low Risk,0
8,64.1,504.05,0.0,0.0,Low Risk,0
1,45.65,45.65,45.65,1.0,High Risk,1
16,19.75,284.35,0.0,0.0,Low Risk,0
11,25.2,321.05,0.0,0.0,Low Risk,0
11,74.95,815.5,74.95,1.0,High Risk,1
41,88.5,3645.05,0.0,0.0,Low Risk,0
14,76.1,1054.8,0.0,0.0,Low Risk,0
61,88.65,5321.25,0.0,0.0,Low Risk,0
20,89.4,1871.15,0.0,0.0,Low Risk,0
47,106.4,5127.95,106.4,1.0,High Risk,1
2,59.5,130.5,0.0,0.0,Low Risk,0
41,60.3,2511.3,0.0,0.0,Low Risk,0
72,25.25,1841.2,0.0,0.0,Low Risk,0
72,80.2,5714.2,0.0,0.0,Low Risk,0
46,95.65,4664.2,0.0,0.0,Low Risk,0
1,19.8,19.8,19.8,1.0,High Risk,1
29,45.0,1242.45,0.0,0.0,Low Risk,0
37,100.05,3810.55,0.0,0.0,Low Risk,0
19,61.55,1093.2,0.0,0.0,Low Risk,0
49,78.0,3824.2,0.0,0.0,Low Risk,0
13,44.0,659.35,0.0,0.0,Low Risk,0
22,49.8,1049.05,0.0,0.0,Low Risk,0
53,96.75,5206.55,0.0,0.0,Low Risk,0
24,49.55,1210.4,49.55,1.0,High Risk,1
37,19.8,813.3,0.0,0.0,Low Risk,0
6,55.3,324.25,55.3,1.0,High Risk,1
7,79.65,604.7,79.65,1.0,High Risk,1
12,19.8,229.6,19.8,1.0,High Risk,1
71,25.0,1753.0,0.0,0.0,Low Risk,0
26,82.0,2083.1,0.0,0.0,Low Risk,0
6,45.65,323.45,0.0,0.0,Low Risk,0
32,87.65,2766.4,0.0,0.0,Low Risk,0
47,58.6,2723.4,0.0,0.0,Low Risk,0
31,21.0,697.7,0.0,0.0,Low Risk,0
52,84.05,4326.8,0.0,0.0,Low Risk,0
60,60.8,3603.45,0.0,0.0,Low Risk,0
48,65.65,3094.65,0.0,0.0,Low Risk,0
45,18.85,867.3,0.0,0.0,Low Risk,0
39,80.45,3201.55,80.45,1.0,High Risk,1
1,85.7,85.7,85.7,1.0,High Risk,1
1,69.6,69.6,69.6,1.0,High Risk,1
6,79.05,434.5,79.05,1.0,High Risk,1
9,76.25,684.85,0.0,0.0,Low Risk,0
72,114.05,8468.2,0.0,0.0,Low Risk,0
71,52.3,3765.05,0.0,0.0,Low Risk,0
71,19.6,1387.45,0.0,0.0,Low Risk,0
64,94.6,5948.7,0.0,0.0,Low Risk,0
28,19.55,543.8,0.0,0.0,Low Risk,0
70,115.15,8250.0,0.0,0.0,Low Risk,0
39,95.65,3759.05,95.65,1.0,High Risk,1
16,20.4,321.4,0.0,0.0,Low Risk,0
66,110.85,7491.75,110.85,1.0,High Risk,1
21,95.4,2025.1,0.0,0.0,Low Risk,0
44,84.8,3862.55,84.8,1.0,High Risk,1
54,99.1,5437.1,0.0,0.0,Low Risk,0
4,56.75,245.15,0.0,0.0,Low Risk,0
60,110.0,6668.35,0.0,0.0,Low Risk,0
26,92.4,2349.8,0.0,0.0,Low Risk,0
24,78.6,1846.65,0.0,0.0,Low Risk,0
53,19.4,1110.35,0.0,0.0,Low Risk,0
46,19.4,958.15,0.0,0.0,Low Risk,0
56,88.9,4968.0,0.0,0.0,Low Risk,0
7,59.1,369.25,0.0,0.0,Low Risk,0
1,85.8,85.8,85.8,1.0,High Risk,1
1,45.55,45.55,0.0,0.0,Low Risk,0
60,19.95,1258.15,0.0,0.0,Low Risk,0
61,20.55,1252.0,0.0,0.0,Low Risk,0
42,33.55,1445.3,33.55,1.0,High Risk,1
27,19.85,470.0,0.0,0.0,Low Risk,0
9,85.35,754.65,85.35,1.0,High Risk,1
72,20.05,1423.65,0.0,0.0,Low Risk,0
23,19.65,478.1,0.0,0.0,Low Risk,0
47,95.05,4504.55,95.05,1.0,High Risk,1
54,18.95,1031.1,0.0,0.0,Low Risk,0
2,95.5,181.65,0.0,0.0,Low Risk,0
38,60.0,2193.2,0.0,0.0,Low Risk,0
47,99.7,4747.2,0.0,0.0,Low Risk,0
22,56.25,1292.2,0.0,0.0,Low Risk,0
2,91.45,171.45,0.0,0.0,Low Risk,0
72,79.05,5730.7,0.0,0.0,Low Risk,0
58,45.3,2651.2,45.3,1.0,High Risk,1
69,79.2,5420.65,0.0,0.0,Low Risk,0
18,69.5,1199.4,0.0,0.0,Low Risk,0
55,20.0,1087.25,0.0,0.0,Low Risk,0
46,101.1,4674.4,0.0,0.0,Low Risk,0
5,19.25,86.05,0.0,0.0,Low Risk,0
4,33.65,137.85,33.65,1.0,High Risk,1
5,89.5,477.7,89.5,1.0,High Risk,1
65,61.35,3874.1,0.0,0.0,Low Risk,0
35,21.45,705.45,0.0,0.0,Low Risk,0
45,97.05,4385.05,0.0,0.0,Low Risk,0
2,19.9,57.4,0.0,0.0,Low Risk,0
22,80.15,1790.65,0.0,0.0,Low Risk,0
70,68.95,4858.7,0.0,0.0,Low Risk,0
30,66.3,1923.5,0.0,0.0,Low Risk,0
61,107.75,6521.9,0.0,0.0,Low Risk,0
29,20.35,617.35,0.0,0.0,Low Risk,0
61,105.55,6281.45,105.55,1.0,High Risk,1
25,90.4,2178.6,90.4,1.0,High Risk,1
71,113.15,7953.25,0.0,0.0,Low Risk,0
1,35.0,35.0,0.0,0.0,Low Risk,0
62,70.45,4300.45,0.0,0.0,Low Risk,0
64,73.55,4764.0,0.0,0.0,Low Risk,0
64,90.6,5817.45,0.0,0.0,Low Risk,0
29,84.3,2357.75,0.0,0.0,Low Risk,0
2,70.75,146.9,70.75,1.0,High Risk,1
1,19.65,19.65,0.0,0.0,Low Risk,0
1,50.65,50.65,50.65,1.0,High Risk,1
45,24.65,1171.3,0.0,0.0,Low Risk,0
66,114.3,7383.7,0.0,0.0,Low Risk,0
54,106.55,5763.3,106.55,1.0,High Risk,1
70,80.4,5717.85,0.0,0.0,Low Risk,0
37,92.5,3473.4,92.5,1.0,High Risk,1
3,79.9,260.9,79.9,1.0,High Risk,1
23,55.3,1284.2,0.0,0.0,Low Risk,0
60,100.5,6029.0,0.0,0.0,Low Risk,0
35,33.45,1175.85,0.0,0.0,Low Risk,0
27,74.4,1972.35,0.0,0.0,Low Risk,0
24,52.5,1208.15,0.0,0.0,Low Risk,0
2,93.85,170.85,93.85,1.0,High Risk,1
67,90.6,6056.15,90.6,1.0,High Risk,1
2,47.8,92.45,47.8,1.0,High Risk,1
1,20.4,20.4,20.4,1.0,High Risk,1
1,79.35,79.35,79.35,1.0,High Risk,1
14,54.25,773.2,0.0,0.0,Low Risk,0
38,94.75,3653.0,0.0,0.0,Low Risk,0
1,70.1,70.1,70.1,1.0,High Risk,1
2,70.4,154.8,0.0,0.0,Low Risk,0
12,78.95,927.35,78.95,1.0,High Risk,1
31,98.05,3082.1,0.0,0.0,Low Risk,0
35,72.1,2495.15,0.0,0.0,Low Risk,0
72,109.55,7920.7,0.0,0.0,Low Risk,0
8,94.2,777.3,94.2,1.0,High Risk,1
10,98.5,1037.75,98.5,1.0,High Risk,1
5,69.05,318.5,69.05,1.0,High Risk,1
63,83.5,5435.0,0.0,0.0,Low Risk,0
71,25.6,1888.25,0.0,0.0,Low Risk,0
46,104.45,4863.85,0.0,0.0,Low Risk,0
52,23.05,1255.1,0.0,0.0,Low Risk,0
1,46.3,46.3,46.3,1.0,High Risk,1
1,79.6,79.6,79.6,1.0,High Risk,1
72,112.75,8192.6,0.0,0.0,Low Risk,0
3,83.75,247.25,83.75,1.0,High Risk,1
28,60.9,1785.65,0.0,0.0,Low Risk,0
39,51.05,2066.0,0.0,0.0,Low Risk,0
33,25.7,826.1,0.0,0.0,Low Risk,0
12,60.65,743.3,0.0,0.0,Low Risk,0
1,74.5,74.5,74.5,1.0,High Risk,1
6,78.65,483.3,0.0,0.0,Low Risk,0
3,86.05,244.85,0.0,0.0,Low Risk,0
4,88.45,370.65,88.45,1.0,High Risk,1
34,89.85,3091.75,0.0,0.0,Low Risk,0
1,19.95,19.95,0.0,0.0,Low Risk,0
15,96.3,1426.75,96.3,1.0,High Risk,1
1,24.75,24.75,24.75,1.0,High Risk,1
3,50.65,151.3,50.65,1.0,High Risk,1
1,20.1,20.1,20.1,1.0,High Risk,1
3,20.25,71.2,0.0,0.0,Low Risk,0
30,80.8,2369.3,0.0,0.0,Low Risk,0
5,53.85,259.8,53.85,1.0,High Risk,1
68,20.0,1396.0,0.0,0.0,Low Risk,0
1,20.35,20.35,0.0,0.0,Low Risk,0
5,80.0,412.5,80.0,1.0,High Risk,1
1,71.1,71.1,71.1,1.0,High Risk,1
13,20.0,218.55,0.0,0.0,Low Risk,0
35,80.05,2835.9,0.0,0.0,Low Risk,0
4,69.55,284.9,0.0,0.0,Low Risk,0
9,24.95,190.25,0.0,0.0,Low Risk,0
45,85.7,3778.1,0.0,0.0,Low Risk,0
21,28.5,629.35,0.0,0.0,Low Risk,0
26,88.8,2274.35,88.8,1.0,High Risk,1
1,85.0,85.0,85.0,1.0,High Risk,1
2,88.55,179.25,88.55,1.0,High Risk,1
11,70.5,829.3,0.0,0.0,Low Risk,0
59,109.15,6557.75,0.0,0.0,Low Risk,0
31,83.85,2674.15,0.0,0.0,Low Risk,0
54,24.75,1342.15,0.0,0.0,Low Risk,0
16,19.3,360.35,0.0,0.0,Low Risk,0
9,54.55,494.05,54.55,1.0,High Risk,1
21,97.35,2119.5,97.35,1.0,High Risk,1
1,20.75,20.75,0.0,0.0,Low Risk,0
23,54.4,1249.25,0.0,0.0,Low Risk,0
7,74.4,527.9,74.4,1.0,High Risk,1
21,103.85,2215.0,0.0,0.0,Low Risk,0
65,107.65,7082.85,0.0,0.0,Low Risk,0
4,44.55,174.3,44.55,1.0,High Risk,1
72,111.95,8033.1,0.0,0.0,Low Risk,0
68,41.95,2965.75,0.0,0.0,Low Risk,0
67,84.8,5598.3,0.0,0.0,Low Risk,0
1,79.25,79.25,79.25,1.0,High Risk,1
69,95.65,6744.2,0.0,0.0,Low Risk,0
60,89.9,5450.7,0.0,0.0,Low Risk,0
3,88.35,262.05,88.35,1.0,High Risk,1
63,59.0,3707.6,0.0,0.0,Low Risk,0
71,91.25,6589.6,0.0,0.0,Low Risk,0
35,85.95,3110.1,85.95,1.0,High Risk,1
34,70.0,2416.1,70.0,1.0,High Risk,1
53,69.7,3729.6,0.0,0.0,Low Risk,0
17,34.4,592.75,0.0,0.0,Low Risk,0
1,60.0,60.0,60.0,1.0,High Risk,1
56,80.9,4557.5,0.0,0.0,Low Risk,0
7,49.75,331.3,49.75,1.0,High Risk,1
67,111.3,7567.2,0.0,0.0,Low Risk,0
11,60.9,688.5,0.0,0.0,Low Risk,0
1,20.25,20.25,0.0,0.0,Low Risk,0
2,24.85,62.0,0.0,0.0,Low Risk,0
69,105.35,7240.65,0.0,0.0,Low Risk,0
1,79.95,79.95,79.95,1.0,High Risk,1
21,90.05,1862.9,0.0,0.0,Low Risk,0
72,97.25,7133.1,0.0,0.0,Low Risk,0
2,84.05,186.05,0.0,0.0,Low Risk,0
57,20.75,1118.8,0.0,0.0,Low Risk,0
1,89.55,89.55,89.55,1.0,High Risk,1
4,80.6,319.15,80.6,1.0,High Risk,1
2,19.4,61.05,0.0,0.0,Low Risk,0
9,76.85,663.55,0.0,0.0,Low Risk,0
71,111.3,7985.9,0.0,0.0,Low Risk,0
13,18.8,251.25,0.0,0.0,Low Risk,0
50,44.8,2230.85,0.0,0.0,Low Risk,0
10,89.8,914.3,89.8,1.0,High Risk,1
64,94.25,6081.4,0.0,0.0,Low Risk,0
1,69.8,69.8,69.8,1.0,High Risk,1
2,24.9,49.7,0.0,0.0,Low Risk,0
30,110.45,3327.05,0.0,0.0,Low Risk,0
7,90.45,593.45,90.45,1.0,High Risk,1
26,19.4,525.55,0.0,0.0,Low Risk,0
20,50.0,1003.05,0.0,0.0,Low Risk,0
72,26.0,1776.0,0.0,0.0,Low Risk,0
13,55.95,734.35,55.95,1.0,High Risk,1
70,84.6,5706.2,0.0,0.0,Low Risk,0
3,29.75,96.85,0.0,0.0,Low Risk,0
2,76.5,162.45,76.5,1.0,High Risk,1
72,115.75,8443.7,0.0,0.0,Low Risk,0
33,83.85,2716.3,83.85,1.0,High Risk,1
15,74.4,1074.3,74.4,1.0,High Risk,1
1,29.15,29.15,0.0,0.0,Low Risk,0
55,98.8,5617.75,98.8,1.0,High Risk,1
5,64.4,316.9,0.0,0.0,Low Risk,0
3,79.65,251.75,79.65,1.0,High Risk,1
65,89.85,5844.65,0.0,0.0,Low Risk,0
39,59.8,2343.85,0.0,0.0,Low Risk,0
70,25.15,1940.85,0.0,0.0,Low Risk,0
34,116.25,3899.05,0.0,0.0,Low Risk,0
30,49.9,1441.95,0.0,0.0,Low Risk,0
12,49.85,617.15,0.0,0.0,Low Risk,0
9,20.1,190.25,0.0,0.0,Low Risk,0
49,56.3,2780.6,0.0,0.0,Low Risk,0
7,44.25,313.45,0.0,0.0,Low Risk,0
38,83.45,3147.15,0.0,0.0,Low Risk,0
63,109.2,7049.75,0.0,0.0,Low Risk,0
1,71.65,71.65,71.65,1.0,High Risk,1
30,89.9,2723.15,0.0,0.0,Low Risk,0
23,73.75,1756.6,0.0,0.0,Low Risk,0
57,69.75,3894.4,0.0,0.0,Low Risk,0
70,75.65,5411.4,0.0,0.0,Low Risk,0
71,106.7,7382.25,0.0,0.0,Low Risk,0
20,49.6,939.8,0.0,0.0,Low Risk,0
72,25.2,1787.35,0.0,0.0,Low Risk,0
22,69.7,1490.4,0.0,0.0,Low Risk,0
15,26.35,378.6,0.0,0.0,Low Risk,0
9,48.75,442.2,48.75,1.0,High Risk,1
38,105.0,4026.4,105.0,1.0,High Risk,1
7,29.8,220.45,0.0,0.0,Low Risk,0
26,73.05,1959.5,0.0,0.0,Low Risk,0
56,60.25,3282.75,0.0,0.0,Low Risk,0
49,20.05,923.1,0.0,0.0,Low Risk,0
3,70.25,229.7,0.0,0.0,Low Risk,0
1,74.4,74.4,74.4,1.0,High Risk,1
70,19.55,1462.05,0.0,0.0,Low Risk,0
23,55.8,1327.85,0.0,0.0,Low Risk,0
65,59.6,3739.8,0.0,0.0,Low Risk,0
69,108.4,7318.2,108.4,1.0,High Risk,1
1,55.4,55.4,55.4,1.0,High Risk,1
24,90.35,2238.5,90.35,1.0,High Risk,1
25,95.15,2395.7,0.0,0.0,Low Risk,0
17,19.9,323.15,0.0,0.0,Low Risk,0
32,70.5,2201.75,0.0,0.0,Low Risk,0
68,19.95,1377.7,0.0,0.0,Low Risk,0
70,20.15,1411.2,0.0,0.0,Low Risk,0
54,105.2,5637.85,0.0,0.0,Low Risk,0
15,19.4,289.3,19.4,1.0,High Risk,1
71,66.85,4748.7,0.0,0.0,Low Risk,0
